"시도별(1)",시도별(2),2019. 12,2020. 01,2020. 02,2020. 03,2020. 04,2020. 05
"총계",소계,0.6,0.6,0.5,0.4,0.4,0.4
"서울",서울,0.7,0.7,0.6,0.5,0.4,0.4
"부산",부산,0.5,0.4,0.4,0.4,0.4,0.4
"대구",대구,0.7,0.7,0.6,0.4,0.4,0.4
"인천",인천,0.7,0.7,0.6,0.5,0.5,0.5
"광주",광주,0.6,0.6,0.5,0.4,0.4,0.4
"대전",대전,0.6,0.5,0.5,0.4,0.3,0.3
"울산",울산,0.5,0.5,0.6,0.5,0.4,0.4
"세종",세종,0.6,0.7,0.5,0.4,0.4,0.5
"경기",수원,0.7,0.7,0.6,0.6,0.5,0.5
"경기",안양,0.7,0.7,0.7,0.5,0.5,0.5
"경기",성남,0.7,0.8,0.6,0.5,0.5,0.5
"경기",의정부,0.7,0.8,0.6,0.5,0.5,0.5
"경기",광명,0.7,0.7,0.5,0.4,0.4,0.5
"경기",안산,0.6,0.7,0.6,0.5,0.4,0.4
"경기",평택,0.5,0.5,0.4,0.4,0.4,0.4
"경기",과천,0.7,0.8,0.6,0.5,0.4,0.5
"경기",구리,0.5,0.5,0.4,0.4,0.4,0.4
"경기",의왕,0.7,0.7,0.6,0.5,0.4,0.4
"경기",고양,0.6,0.6,0.5,0.5,0.4,0.4
"경기",광주,0.7,0.7,0.5,0.4,0.3,0.3
"경기",군포,0.5,0.6,0.5,0.4,0.4,0.4
"경기",시흥,0.6,0.7,0.6,0.5,0.4,0.4
"경기",부천,0.6,0.6,0.5,0.4,0.4,0.4
"경기",남양주,0.6,0.6,0.5,0.4,0.3,0.3
"경기",용인,0.6,0.7,0.6,0.4,0.4,0.4
"경기",김포,0.5,0.5,0.5,0.4,0.4,0.4
"경기",오산,0.6,0.6,0.4,0.3,0.3,0.3
"경기",하남,0.6,0.6,0.5,0.5,0.4,0.4
"경기",화성,0.5,0.6,0.5,0.4,0.4,0.4
"경기",양주,0.5,0.5,0.4,0.4,0.4,0.4
"경기",동두천,0.6,0.4,0.4,0.4,0.4,0.3
"경기",안성,0.5,0.6,0.4,0.4,0.3,0.3
"경기",이천,0.7,0.6,0.6,0.5,0.4,0.4
"경기",파주,0.6,0.7,0.5,0.5,0.4,0.4
"경기",포천,0.6,0.7,0.6,0.5,0.4,0.4
"경기",여주,0.8,0.6,0.6,0.5,0.4,0.4
"경기",연천,0.5,0.6,0.5,0.4,0.3,0.4
"경기",가평,0.6,0.6,0.6,0.5,0.4,0.4
"경기",양평,0.6,0.6,0.6,0.5,0.4,0.3
"경기",도평균,0.6,0.6,0.5,0.5,0.4,0.4
"강원",양구,0.6,0.6,0.5,0.5,0.4,0.4
"강원",고성,0.5,0.5,0.5,0.4,0.3,0.3
"강원",정선,0.7,0.6,0.4,0.3,0.3,0.3
"강원",횡성,0.6,0.6,0.4,0.4,0.4*,0.4
"강원",춘천,0.7,0.7,0.6,0.5,0.4,0.3
"강원",강릉,0.4,0.5,0.6*,0.4,0.3,0.5
"강원",원주,0.7,0.6,0.6,0.5,0.5,0.4*
"강원",동해,0.5,0.5,0.5,0.4,0.4,0.4
"강원",삼척,0.4,0.4,0.4,0.4,0.3,0.3
"강원",평창,0.5,0.3,0.4,0.3,0.3,0.2
"강원",양양,0.4,0.4*,0.5,0.4,0.4,0.4
"강원",속초,0.6,0.6,0.6,0.5,0.3,0.4
"강원",영월,0.5,0.5,0.4,0.4,0.4,0.4
"강원",철원,0.6,0.6,0.6,0.5,0.4,0.3
"강원",홍천,0.6,0.6,0.6,0.5,0.4,0.3
"강원",화천,0.7,0.6,0.5,0.4,0.5**,0.4
"강원",태백,0.6,0.6,0.5,0.4,0.3,0.3
"강원",인제,0.4,0.5,0.4,0.4,0.4,0.3
"강원",도평균,0.6,0.5,0.5,0.4,0.4,0.3
"충북",괴산,0.6,0.6,0.6,0.5,0.4,0.4
"충북",음성,0.6,0.6,0.5,0.4,0.3,0.4
"충북",청주,0.6,0.6,0.6,0.5,0.4,0.4
"충북",충주,0.7,0.7,0.6,0.4,0.4,0.4
"충북",제천,0.9,0.8,0.7,0.5,0.4,0.4
"충북",단양,0.7,0.7,0.6,0.5,0.5,0.5
"충북",진천,0.6,0.7,0.6,0.5,0.4,0.4
"충북",옥천,0.8*,0.5,0.9,0.5,0.4,0.4
"충북",영동,0.6,0.6,0.6,0.4,0.3,0.4
"충북",증평,0.5,0.5,0.4,0.4,0.4,0.4
"충북",보은,0.6,0.6,0.6,0.5,0.4,0.4
"충북",도평균,0.7,0.6,0.6,0.4,0.4,0.4
"충남",천안,0.6,0.6,0.5,0.5*,0.4*,0.4*
"충남",당진,0.5,0.6,0.5,0.6,0.5,0.5
"충남",서산,0.6,0.6,0.5,0.5,0.4,0.4
"충남",아산,0.5,0.5,0.4,0.4,0.4,0.4
"충남",논산,0.7,0.6,0.5,0.5,0.4,0.4
"충남",태안,0.5,0.5,0.5,0.4,0.4,0.5
"충남",보령,0.4,0.4,0.4,0.4,0.4,0.5
"충남",홍성,0.4,0.5,0.4,0.4,0.4,0.4
"충남",공주,0.4,0.4,0.4,0.3,0.3,0.3
"충남",부여,0.6,0.6,0.6,0.5,0.4,0.4
"충남",청양,0.4,0.5,0.4,0.4,0.3,0.3
"충남",금산,0.6,0.6,0.5,0.4,0.3,0.3
"충남",예산,0.5,0.5,0.4,0.4,0.3,0.3
"충남",계룡,0.5,0.5,0.5,0.4,0.4,0.5
"충남",서천,0.5,0.6,0.5,0.4,0.4,0.4
"충남",도평균,0.5,0.5,0.5,0.4,0.4,0.4
"전북",임실,0.5,0.5,0.4,0.4,0.3,0.4
"전북",전주,0.4*,0.5*,0.4,0.4,0.4,0.3
"전북",군산,0.5,0.5,0.5,0.4,0.3,0.3
"전북",익산,0.4*,0.5,0.4,0.4,0.3,0.3
"전북",남원,0.5,0.5,0.5,0.4,0.4,0.3
"전북",정읍,0.4,0.4,0.4,0.4,0.4,0.4
"전북",고창,0.4,0.4,0.4,0.3,0.3,0.2
"전북",부안,0.6,0.6,0.6,0.5,0.5,0.5
"전북",김제,0.4,0.5,0.4,0.4,0.4,0.4
"전북",완주,0.5,0.5,0.4,0.4,0.3,0.4
"전북",진안,0.4,0.4,0.4,0.4,0.3,0.3
"전북",무주,0.5,0.5,0.4,0.4,0.3,0.4
"전북",순창,0.4,0.4,0.3,0.3,0.3,0.3
"전북",장수,0.5,0.5,0.4,0.4,0.3,0.3
"전북",도평균,0.4,0.5,0.4,0.4,0.3,0.3
"전남",화순,0.7,0.8*,0.5,0.5,0.5,0.5
"전남",여수,0.6,0.6,0.5,0.5,0.5,0.5
"전남",광양,0.6,0.6,0.5,0.4,0.4,0.4
"전남",순천,0.5,0.5,0.5,0.5,0.4,0.5
"전남",목포,0.5,0.6,0.5,0.4,0.4,0.4
"전남",영암,0.5,0.4,0.3,0.3,0.3,0.3
"전남",나주,0.3,0.2,0.3,0.2,0.3,0.3
"전남",담양,0.3,0.3,0.3,0.2,0.3,0.3
"전남",장성,0.3,0.3,0.2,0.4,0.3,0.3
"전남",해남,0.4,0.5,0.4,0.4,0.3,0.3
"전남",영광,0.4,0.4,0.4,0.4,0.3,0.3
"전남",장흥,0.4,0.4,0.4,0.4,0.4,0.4
"전남",진도,0.5,0.6,0.4,0.5,0.5,0.5
"전남",완도,0.6,0.5,0.5,0.4,0.4,0.5
"전남",함평,0.5,0.6,0.5,0.5,0.5,0.5
"전남",고흥,0.6,0.5,0.4,0.5,0.4,0.3
"전남",신안,0.3,0.3,0.3,0.3,0.3,0.3
"전남",무안,0.5,0.5,0.4,0.3,0.4,0.4
"전남",강진,0.4,0.5,0.4,0.4,0.3,0.3
"전남",곡성,0.5,0.7,0.5,0.5,0.5,0.6
"전남",구례,0.6,0.6,0.6,0.5,0.4,0.5
"전남",보성,0.6,0.5,0.4,0.5,0.4,0.5
"전남",도평균,0.5,0.5,0.5,0.4,0.4,0.4
"경북",영덕,0.4**,0.4,0.4,0.3,0.3,0.3
"경북",영천,0.5,0.6,0.5,0.5,0.5,0.4
"경북",의성,-,0.5**,0.6,0.5,0.4,0.4
"경북",울릉도,0.3,0.2,0.3,0.4,0.3,0.3
"경북",포항,0.6,0.6,0.5,0.5,0.4,0.4
"경북",구미,0.6,0.6,0.5,0.4,0.5,0.4
"경북",김천,0.7,0.8,0.5,0.5,0.5,0.4
"경북",경주,0.5,0.4,0.3,0.2,0.2,0.3
"경북",안동,0.8,0.7,0.7,0.4,0.4,0.3
"경북",영주,0.7**,0.8**,0.7,0.6,0.5,0.5
"경북",경산,0.6,0.6,0.5,0.4,0.4,0.3
"경북",상주,0.6,0.5,0.5,0.4,0.3,0.3
"경북",칠곡,0.5,0.5,0.4,0.3,0.3,0.3
"경북",울진,0.5,0.4,0.5,0.4,0.4,0.4
"경북",봉화,0.5,0.5,0.5,0.4,0.3,0.3
"경북",고령,0.5,0.5,0.5,0.4,0.4,0.4
"경북",군위,-,0.5**,0.5,0.4,0.4,0.4
"경북",성주,-,-,-,0.6**,0.6,0.6
"경북",예천,-,-,-,0.2,0.2,0.3
"경북",청도,-,-,0.3,0.3,0.3,0.3
"경북",청송,-,-,-,0.2**,0.3,0.3
"경북",영양,-,-,-,0.3,0.3,0.3
"경북",문경,-,-,0.4*,0.4,0.3,0.3
"경북",도평균,0.6,0.5,0.5,0.4,0.4,0.4
"경남",창원,0.6,0.5,0.5,0.4,0.4,0.4
"경남",진주,0.6,0.5,0.5,0.4,0.4,0.4
"경남",하동,0.4,0.4,0.4,0.4*,0.4,0.4
"경남",김해,0.5,0.5,0.5,0.4,0.3,0.3
"경남",양산,0.6,0.6,0.5,0.4,0.4,0.4
"경남",거제,0.5,0.5,0.4,0.4,0.4,0.5
"경남",사천,0.4,0.5,0.5,0.4,0.4,0.4
"경남",밀양,0.2,0.3,0.4,0.3,0.3,0.2
"경남",통영,0.4,0.4,0.3,0.3,0.3,0.3
"경남",고성,0.4,0.5,0.5,0.4,0.4,0.4
"경남",거창,0.5,0.6,0.5,0.4,0.4,0.3
"경남",함안,0.5,0.5,0.6,0.4,0.4,0.3
"경남",함양,0.4,0.5,0.4,0.4,0.4,0.4
"경남",남해,0.5,0.5,0.5,0.4,0.4*,0.5
"경남",산청,0.5,0.5,0.4,0.4,0.3,0.3
"경남",의령,0.5,0.5,0.4,0.4,0.3,0.4
"경남",창녕,0.5,0.5,0.4,0.4,0.4,0.3
"경남",합천,0.5,0.5,0.4,0.4,0.4,0.3
"경남",도평균,0.5,0.5,0.5,0.4,0.4,0.4
"제주",제주,0.4,0.4,0.5,0.4,0.4,0.4
"제주",서귀포,0.3,0.3,0.3,0.3,0.3,0.3
"제주",도평균,0.3,0.4,0.4,0.3,0.3,0.3
